,2022-05-24,2022-05-22,2022-05-17,2022-05-16,2022-04-23,2022-04-19,2022-04-17,2022-04-12,2022-04-11,2022-04-08,2022-04-07,2022-04-05,2022-04-04,2022-04-03,2022-04-02
0,廖乙忠,廖乙忠,廖乙忠,廖乙忠,廖乙忠,鄭凱文,鄭凱文,鄭凱文,鄭凱文,鄭凱文,鄭凱文,鄭凱文,鄭凱文,泰迪,泰迪
1,鄭凱文,鄭凱文,鄭凱文,鄭凱文,鄭凱文,泰迪,泰迪,泰迪,泰迪,泰迪,泰迪,泰迪,泰迪,李振昌,李振昌
2,泰迪,泰迪,泰迪,泰迪,泰迪,李振昌,李振昌,李振昌,李振昌,李振昌,李振昌,李振昌,李振昌,象魔力,陳柏豪
3,李振昌,李振昌,李振昌,李振昌,李振昌,德保拉,德保拉,象魔力,象魔力,象魔力,象魔力,象魔力,象魔力,陳柏豪,吳哲源
4,林丞軒,德保拉,德保拉,德保拉,德保拉,象魔力,象魔力,楊志龍,楊志龍,楊志龍,陳柏豪,陳柏豪,陳柏豪,吳哲源,陳家駒
5,德保拉,象魔力,象魔力,象魔力,象魔力,楊志龍,楊志龍,呂彥青,陳柏豪,陳柏豪,吳哲源,吳哲源,吳哲源,陳家駒,高宇杰
6,象魔力,楊志龍,楊志龍,楊志龍,楊志龍,呂彥青,呂彥青,陳柏豪,吳哲源,吳哲源,陳家駒,陳家駒,陳家駒,高宇杰,王威晨
7,楊志龍,呂彥青,呂彥青,呂彥青,呂彥青,陳柏豪,陳柏豪,吳哲源,陳家駒,陳家駒,高宇杰,高宇杰,高宇杰,王威晨,王政順
8,呂彥青,陳柏豪,陳柏豪,陳柏豪,陳柏豪,吳哲源,吳哲源,陳家駒,高宇杰,高宇杰,王威晨,王威晨,王威晨,王政順,許基宏
9,陳柏豪,吳哲源,吳哲源,吳哲源,吳哲源,陳家駒,陳家駒,高宇杰,王威晨,王威晨,王政順,王政順,王政順,許基宏,江坤宇
10,吳哲源,陳家駒,陳家駒,陳家駒,陳家駒,高宇杰,高宇杰,王威晨,王政順,王政順,許基宏,許基宏,許基宏,江坤宇,岳東華
11,陳家駒,高宇杰,高宇杰,高宇杰,高宇杰,黃鈞聲,王威晨,王政順,許基宏,許基宏,江坤宇,江坤宇,江坤宇,岳東華,陳子豪
12,高宇杰,黃鈞聲,黃鈞聲,黃鈞聲,黃鈞聲,王威晨,王政順,許基宏,江坤宇,江坤宇,岳東華,岳東華,岳東華,陳子豪,李聖裕
13,黃鈞聲,王威晨,王威晨,王威晨,王威晨,王政順,許基宏,江坤宇,岳東華,岳東華,陳子豪,陳子豪,陳子豪,李聖裕,陳文杰
14,王威晨,王政順,王政順,王政順,王政順,杜家明,江坤宇,岳東華,陳子豪,陳子豪,李聖裕,李聖裕,李聖裕,陳文杰,張志豪
15,王政順,杜家明,杜家明,杜家明,杜家明,許基宏,岳東華,陳子豪,李聖裕,李聖裕,陳文杰,陳文杰,陳文杰,張志豪,周思齊
16,杜家明,許基宏,許基宏,許基宏,許基宏,江坤宇,陳子豪,李聖裕,陳文杰,陳文杰,張志豪,張志豪,張志豪,周思齊,詹子賢
17,許基宏,江坤宇,江坤宇,江坤宇,江坤宇,岳東華,李聖裕,陳文杰,張志豪,張志豪,周思齊,周思齊,周思齊,詹子賢,岳政華
18,江坤宇,岳東華,岳東華,岳東華,岳東華,陳子豪,陳文杰,張志豪,周思齊,周思齊,詹子賢,詹子賢,詹子賢,岳政華,吳俊偉
19,岳東華,陳子豪,陳子豪,陳子豪,陳子豪,李聖裕,張志豪,周思齊,詹子賢,詹子賢,岳政華,岳政華,岳政華,吳俊偉,官大元
20,陳子豪,李聖裕,李聖裕,李聖裕,李聖裕,陳文杰,周思齊,詹子賢,岳政華,岳政華,吳俊偉,吳俊偉,吳俊偉,官大元,彭識穎
21,李聖裕,陳文杰,陳文杰,陳文杰,陳文杰,張志豪,詹子賢,岳政華,吳俊偉,吳俊偉,官大元,官大元,官大元,彭識穎,潘志芳
22,陳文杰,張志豪,張志豪,張志豪,張志豪,周思齊,岳政華,吳俊偉,官大元,官大元,彭識穎,彭識穎,彭識穎,潘志芳,福來喜
23,張志豪,周思齊,周思齊,周思齊,周思齊,詹子賢,吳俊偉,官大元,彭識穎,彭識穎,潘志芳,潘志芳,潘志芳,福來喜,謝榮豪
24,周思齊,詹子賢,詹子賢,詹子賢,詹子賢,岳政華,官大元,彭識穎,潘志芳,潘志芳,福來喜,福來喜,福來喜,謝榮豪,杜家明
25,詹子賢,岳政華,岳政華,岳政華,岳政華,吳俊偉,彭識穎,潘志芳,福來喜,福來喜,謝榮豪,謝榮豪,謝榮豪,杜家明,
26,岳政華,,吳俊偉,吳俊偉,吳俊偉,官大元,潘志芳,福來喜,,謝榮豪,,廖乙忠,杜家明,,
27,,,,蔡齊哲,,,,,,,,,,,
