週次,日期,對手,場地,先發投手
1,4月3日,統一7-ELEVEn獅,台南,施子謙
2,4月4日,統一7-ELEVEn獅,台南,江辰晏
2,4月5日,統一7-ELEVEn獅,台南,潘威倫
2,4月9日,富邦悍將,新莊,陳仕朋
3,4月12日,中信兄弟,洲際,鄭凱文
3,4月14日,統一7-ELEVEn獅,澄清湖,胡智為
3,4月15日,樂天桃猿,天母,陳冠宇
3,4月16日,樂天桃猿,天母,霸林爵
3,4月17日,樂天桃猿,天母,王溢正
4,4月19日,中信兄弟,洲際,呂彥青
4,4月20日,中信兄弟,洲際,泰迪
4,4月22日,富邦悍將,新莊,陳鴻文
4,4月23日,富邦悍將,新莊,江少慶
4,4月24日,富邦悍將,新莊,威迪茲
5,4月26日,統一7-ELEVEn獅,天母,胡智為
5,4月28日,中信兄弟,天母,泰迪
5,4月29日,中信兄弟,天母,象魔力
6,5月11日,樂天桃猿,樂天桃園,王溢正
6,5月13日,樂天桃猿,樂天桃園,霸林爵
7,5月16日,中信兄弟,澄清湖,鄭凱文
7,5月17日,富邦悍將,澄清湖,威迪茲
7,5月18日,富邦悍將,澄清湖,郭俊麟
7,5月19日,樂天桃猿,澄清湖,林子崴
7,5月21日,中信兄弟,天母,象魔力
7,5月22日,統一7-ELEVEn獅,天母,布雷克
